0,1,2,3,4
Llanos del Espino,Málaga,Almargen y Teba,ACCIONA ENERGÍA,38.00
Loma de Lázaro,Cádiz,Alcalá de los Gazules,ACCIONA ENERGÍA,16.00
Nacimiento,Almería,Nacimiento,SISTEMAS ENERGÉTICOS NACIMIENTO,23.80
PESUR Fase 1 (Repotenciado),Cádiz,Tarifa,SOCIEDAD EÓLICA DE ANDALUCÍA. S.A.,24.00
Puerto de Málaga,Málaga,Ardales,Iberanda,12.00
Puerto Facinas,Cádiz,Tarifa,Eólica La Janda. S.L.U.,12.00
Viento de Alcalá,Cádiz,Alcalá de los Gazules,ACCIONA ENERGÍA,42.00
Cantalejos,Sevilla,Osuna,Eólica Guadalteba. S.L.U.,14.00
Cerro Gavira,Málaga,Campillos y Sierra de Yeguas,ACCIONA ENERGÍA,41.65
EEE (Repotenciado),Cádiz,Tarifa,SOCIEDAD EÓLICA DE ANDALUCÍA. S.A.,32.00
El Álamo,Málaga,Campillos,Eólica Guadalteba. S.L.U.,36.00
El Centenar,Huelva,Puebla de Guzmán,Iberdrola Renovables,40.00
El Olivillo,Cádiz,Jeréz de la Frontera,SUN EUROPEAN INVESTMENTS EOLICO OLIVILLO. S.A.U.,25.50
El Saucito (Fase B),Huelva,El Almendro,IBERDROLA RENOVABLES,30.25
Gomera (Fase A),Sevilla,Osuna,Sistemas Energéticos Gomera,12.00
Jaufil,Granada,Zújar,Parque Eólico Jaufíl. S.L.,4.00
Jerez,Cádiz,Jeréz de la Frontera,WIGEP Andalucía. S.A.,46.20
La Castellana,Cádiz,Puerto Real,ACCIONA ENERGÍA,46.00
La Noguera,Almería,Turrillas y Lucainena de las Torres,AL ANDALUS WIND POWER,28.90
La Retuerta (Fase B),Huelva,El Almendro,Sistemas Energéticos La Retuerta,38.00
La Victoria,Cádiz,Chiclana de la Frontera,VIESGO Renovables,23.21
Las Cabezas (Fase B),Huelva,Puebla de Guzmán,Sistemas Energéticos Las Cabezas,17.40
Las Lomillas,Almería,Abrucena,UNIWINDET. S.L.,12.00
Las Vegas,Cádiz,Medina Sidonia,AL ANDALUS WIND POWER,22.00
Lecrín,Granada,Lecrín,Parque Eólico Lecrín. S.L.,12.00
Loma de Ayala,Almería,Alboloduy,UNIWINDET. S.L.,19.50
Lomas de Lecrín,Granada,Lecrín,Parque Eólico Lomas de Lecrín. s.l.,2.00
Lomas de Manteca,Granada,Lecrín,Parque Eólico Lomas de Manteca. S.L.,4.00
Los Isletes,Cádiz,San José del Valle y Jeréz de la Frontera,AL ANDALUS WIND POWER,25.30
Los Jarales,Almería,Abla,UNIWINDET. S.L.,16.50
Majal Alto,Huelva,Puebla de Guzmán y El Almendro,Iberdrola Renovables,50.00
Menaute,Málaga,Campillos,ENEL GREEN POWER ESPAÑA S.L.,37.40
Mostaza,Cádiz,Vejer de la Frontera,Eólica La Janda. S.L.U.,18.00
Padul,Granada,Padul,ENEL GREEN POWER ESPAÑA S.L.,18.00
PESUR Fase 2 (Repotenciado),Cádiz,Tarifa,SOCIEDAD EÓLICA DE ANDALUCÍA. S.A.,18.00
Puerto de Málaga Ampliación,Málaga,Ardales. Carratraca,ARESA,12.85
Roalabota,Cádiz,Jeréz de la Frontera,SUN EUROPEAN INVESTMENTS EOLICO OLIVILLO. S.A.U.,28.05
Serón I,Almería,Serón,Eyra,49.50
Serón II,Almería,Serón,AL ANDALUS WIND POWER,10.00
Tallisca,Huelva,El Almendro,Sistemas Energéticos La Tallisca,40.00
Tejonero,Cádiz,Vejer de la Frontera,Eólica La Janda. S.L.U.,32.00
Tíjola,Almería,Tíjola,AL ANDALUS WIND POWER,36.00
Tres Villas,Almería,Las Tres Villas,UNIWINDET. S.L.,49.50
Valdefuentes,Huelva,El Almendro,Sistemas Energéticos Valdefuentes,28.00
El Puntal,Málaga,Sierra de Yeguas,Sociedad Eólica El Puntal. S.L.,26.00
La Rabia,Cádiz,Jeréz de la Frontera,GECAL. S.A,21.71
Los Barrancos,Málaga,Campillos,ENEL GREEN POWER ESPAÑA S.L.,20.00
Los Lirios,Huelva,San Silvestre de Gúzman,AGE GENERACIÓN EÓLICA. S.A.,48.00
Sierra de Aguas Ampliación,Málaga,Casarabonela y Alora,ARESA,1.70
Los Granujales,Cádiz,Vejer de la Frontera,ENEL GREEN POWER ESPAÑA S.L.,24.00
Monte Gordo,Huelva,Ayamonte y Villablanca,EOLICA DEL GUADIANA. S.L.,48.00
Sierra de Arcas,Málaga,Villanueva de Algaidas,LUZ DE VIENTO. S.L.U.,20.00
Cerro Conilete,Cádiz,Vejer de la Frontera,Eólica La Janda. S.L.U.,9.00
Cortijo de Guerra I Ampliación,Cádiz,Puerto Real,Parque eólico Puerto Real. S.L.,1.20
Gomera (Fase A),Sevilla,Osuna,Sistemas Energéticos Gomera,6.00
La Cámara,Málaga,Ardales y Teba,GAMESA ENERGÍA,18.00
Las Monjas Fase II,Cádiz,Medina Sidonia,Eólica La Janda. S.L.U.,8.00
Loma del Capón,Granada,Albuñuelas,Sinia Renovables. S.C.R.R.S.,30.60
Loma del Suyal (Fase A),Cádiz,Vejer de la Frontera,Eólica La Janda. S.L.U.,4.00
Loma del Suyal (Fase B),Cádiz,Vejer de la Frontera,Eólica La Janda. S.L.U.,4.00
Lomas de las Peñuelas,Cádiz,Vejer de la frontera,Eólica La Janda. S.L.U.,9.00
Palomarejo,Sevilla,Écija,ALDESA EÓLICO PALOMAREJO. S.A.U.,30.00
Santa María de Nieva Fase I,Almería,Velez-Rubio,Explotaciones eólicas Vélez Rubio. S.L.,14.00
Santa María de Nieva Fase II,Almería,Velez-Rubio y Huercal-Overa,Explotaciones eólicas Vélez Rubio. S.L.,34.50
Valcaire,Granada,Padul,SINERGIA ANDALUZA. S.L.,16.00
Las Angosturas,Málaga,Campillos y Tella,ENEL GREEN POWER ESPAÑA S.L.,36.00
Los Madroñales,Málaga,Almargen y El Saucejo,ENEL GREEN POWER ESPAÑA S.L.,34.00
Parque Eólico Experimental Cerros Pelaos,Granada,Padul,Unión Eólica Andaluza. S.L.,3.00
Parque Eólico Experimental San José,Granada,Huéneja,Unión Eólica Andaluza. S.L.,1.50
El Cabrito /KW Tarifa Fase I,Cádiz,Tarifa,ACCIONA ENERGIA,6.00
El Cabrito /KW Tarifa Fase II,Cádiz,Tarifa,ACCIONA ENERGIA,24.00
Alijar II,Cádiz,Jerez de la Frontera,Cepsa,28.80
El Marquesado,Cádiz,Puerto Real,VIESGO EUROPA (Grupo Viesgo),24.00
El Tesorillo,Cádiz,Jimena de la Frontera,Naturgy Renovables,26.00
La Estancia,Cádiz,Vejer de la Frontera,Alfanar Energy,7.88
Los Arcos,Málaga,Campillos. Teba y Almargen,ENEL GREEN POWER ESPAÑA S.L.,34.65
Mamut,Granada,Padul,Energía Eóilca Mamut. S.L.,2.40
La Escalereta Fase II,Málaga,Cañete la Real,Parque Eólico Cañete. S.L.U.,23.63
El Almendro,Huelva,El Almendro,PARQUE EÓLICO EL ALMENDRO. S.L.,43.50
El Perdón,Navarra,Zariquiegui y Astráin,ACCIONA ENERGÍA,20.30
Leitza/Beruete,Navarra,Beruete y Leitza,ACCIONA ENERGÍA,19.20
San Martín de Unx,Navarra,San Martín de Unx,ACCIONA ENERGÍA,24.60
Leoz,Navarra,Leoz y San Martin de Unx,ACCIONA ENERGÍA,24.66
Lerga,Navarra,Lerga,ACCIONA ENERGÍA,25.08
Alaiz y ampliación,Navarra,Olóriz y Unzué,ACCIONA ENERGÍA,33.09
Echagüe,Navarra,Olóriz. Unzué y Monreal,ACCIONA ENERGÍA,23.95
Izco,Navarra,Lumbier. Aibar y Ezprogui,ACCIONA ENERGÍA,33.00
San Gregorio,Navarra,Cabanillas,EÓLICA CABANILLAS. S.L.,15.00
Serralta,Navarra,Cabanillas,EÓLICA CABANILLAS. S.L.,15.00
Aibar,Navarra,Aibar,ACCIONA ENERGÍA,36.84
Peña Blanca I,Navarra,Leoz,ACCIONA ENERGÍA,14.52
Salajones,Navarra,Aibar y Lumbier,ACCIONA ENERGÍA,19.14
San Esteban I A,Navarra,Añorbe y Tirapu,Dessarrollo de Energías Renovables de Navarra,24.42
Aizkibel,Navarra,Galar,ACCIONA ENERGÍA,12.52
Caparroso,Navarra,Caparroso,EÓLICA CAPARROSO. S.L.,32.25
La Bandera,Navarra,Fustiñana. Cabanillas y Bardenas Reales,EÓLICA LA BANDERA. S.L.,30.10
Montes de Cierzo I,Navarra,Tudela,EÓLICA MONTES CIERZO. S.L.,28.70
Montes de Cierzo II,Navarra,Tudela,EÓLICA MONTES CIERZO. S.L.,30.80
Serralta Ampliación,Navarra,Cabanillas,EÓLICA CABANILLAS. S.L.,1.50
Sierra Selva I,Navarra,Petilla de Aragón,ACCIONA ENERGÍA,14.85
Villanueva,Navarra,Puente la Reina y Arraiza,EÓLICA DE VILLANUEVA S.L.,19.80
Ibargoiti,Navarra,Ibargoiti. Leoz y Ezprogui,ACCIONA ENERGÍA,28.08
La Bandera Ampliación,Navarra,Fustiñana. Cabanillas y Bardenas Reales,EÓLICA LA BANDERA. S.L.,1.25
Peña Blanca II,Navarra,Leoz y Tafalla,ACCIONA ENERGÍA,36.47
Caluengo,Navarra,Peralta y Funes,DESARROLLOS DE ENERGÍAS RENOVABLES DE NAVARRA,49.50
Las Llanas de Codés (Aras),Navarra,Aguilar de Codés. Viana y Azuelo,ACCIONA ENERGÍA,33.00
Las Llanas de Codés I (Aguilar),Navarra,Aguilar de Codés. Viana y Azuelo,ACCIONA ENERGÍA,50.00
Las Llanas de Codés II (Azuelo),Navarra,Aguilar de Codés. Azuelo. Marañón. Lapoblación y Bargota,ACCIONA ENERGÍA,43.20
Los Cerros (Unzué),Navarra,Unzué,EÓLICA UNZUÉ. S.L.,4.50
Txutxu,Navarra,Ujue,ACCIONA ENERGÍA,17.40
La Campaña Experimental,Navarra,Pueyo,EÓLICA PUEYO. S.L.,4.95
La Fraila,Navarra,Olite,MTORRES DESARROLLOS ENERGÉTICOS. S.L.,4.50
Moncayuelo,Navarra,Falces,ACCIONA ENERGÍA,48.00
San Esteban II A - Añorbe,Navarra,Biurrun-Olcoz y Unzué,Dessarrollo de Energías Renovables de Navarra,11.05
Uzkita,Navarra,Leoz,DESARROLLOS DE ENERGÍAS RENOVABLES DE NAVARRA,24.65
TRANSPORTE,Navarra,Falces,ACCIONA ENERGÍA,49.50
La Calera Experimental,Navarra,Enériz,M Torres Desarrollos Energéticos S.L.,4.95
Lomba Experimental,Navarra,Lodosa,M Torres Desarrollos Energéticos S.L.,4.95
San Esteban II B - Olcoz,Navarra,Biurrun-Olcoz y Unzué,Dessarrollo de Energías Renovables de Navarra,16.00
San Esteban I B - Egastiaga,Navarra,Artajona,Dessarrollo de Energías Renovables de Navarra,6.00
San Esteban II C - Caraquidoya,Navarra,Biurrun-Olcoz y Unzué,Dessarrollo de Energías Renovables de Navarra,15.00
Caparroso,Navarra,Caparroso,EÓLICA CAPARROSO. S.L.,1.60
La Caya (Experimental),Navarra,Olite,M Torres Desarrollos Energéticos S.L.,4.95
Peña Blanca Area Experimental,Navarra,Puello. Tafalla y Leoz,ACCIONA ENERGÍA,3.00
La Sorda,Navarra,Tafalla y Artajona,M TORRES DISEÑOS INDUSTRIALES. S.A.,6.60
Parque Eólico Experimental Las Balsas-Sierra de Alaiz,Navarra,Monreal y Noain,CENER,11.50
Área Experimental de Barásoain,Navarra,Barásoain,ACCIONA Windpower,15.00
Área Experimental de Vedadillo,Navarra,Falces,ACCIONA ENERGIA,9.00
Barasoain,Navarra,Barasoain,Naturgy,36.30
Ablitas,Navarra,Ablitas,Eólica Ablitas S.L.,40.00
Cabanillas II,Navarra,Cabanillas,Eólica Valdetellas S.L.,50.00
Cavar 1,Navarra,Cadreita y Valtierra,Renovables de la Ribera. S.L.,27.72
Cavar 2,Navarra,Cadreita y Valtierra,Renovables de la Ribera. S.L.,27.72
Cavar 3A,Navarra,Valtierra,Renovables de la Ribera. S.L.,27.72
Cavar 3B,Navarra,Valtierra,Renovables de la Ribera. S.L.,27.72
Tirapu,Navarra,Añorbe y Artajona,Naturgy Renovables,13.20
Valle,Navarra,Cortes,Sociedad promotora:,48.50
Pebesa (Baix Ebre),Tarragona,Tortosa,PARC EOLIC BAIX EBRE. S.A.,4.05
La Llacuna,Barcelona,Término Municipal:,Sociedad promotora:,0.23
Trucafort,Tarragona,Pradell de la Teixeta. L´Argentera. La Torre de Fontaubella y Colldejou,SOCIETAT EÓLICA L'ENDERROCADA,29.85
Les Colladetes,Tarragona,El Perelló,ENERVENT. S.A.,36.63
Les Calobres,Tarragona,El Perelló,ELECTRA MESTRAL. S.L.,12.75
Mas de la Potra,Tarragona,Duesaigües i Pradell de la Teixeta,ESBRUG. S.L.,2.60
Collet deis Feixos,Tarragona,Duesaigües,ESBRUG. S.L.,7.92
Serra de Rubió I,Barcelona,Serra de Rubió y Castellfollit del Boix,ACCIONA ENERGÍA,49.50
Ecovent CAT II y III,Tarragona,Tortosa,ECOVENT PARC EOLIC,48.10
Les Comes,Tarragona,Vilalba dels Arcs,Parc Eòlic Les Comes S.L.,3.00
Tortosa (Coll d´Alba),Tarragona,Tortosa,ACCIONA ENERGÍA,29.90
El Motarro,Tarragona,Vandellòs i L´Hospitalet de L´Intant,EÓLICA DEL MONTALT,2.64
Serra de Rubió II,Barcelona,Serra de Rubió y Castellfollit del Boix,ACCIONA ENERGÍA,25.50
Serra de Vilobí,Lleida,Tarrés y Fulleda,ACCIONA ENERGÍA,40.50
Serra del Tallat,Lleida,Vallbona de Les Monges y Passanat,ACCIONA ENERGÍA,49.50
La Collada,Tarragona,El Perelló,GENERACIÓ D'ENERGIA (Eòlica del Perelló. SL),3.00
Les Forques,Tarragona,Passanant. Vallbona de Les Monges y Espuga de Francoli,GERR GRUPO ENERGÉTICO XXI. S.A.,30.00
Montargull,Lleida,Talavera (Lleida) y Llorat (Tarragona),GERRSA,30.00
Montargull Ampliación,Lleida,Talavera (Lleida). Llorat y Santa Coloma de Queralt (Tarragona),GERRSA,14.00
Conesa I,Tarragona,Conesa,GERR GRUPO ENERGÉTICO XXI. S.A.,30.00
Mudéfer II,Tarragona,Caseres,SOCIEDAD CATALANA D´ENERGIES RENOVABLES (CATER) (PARC EOLIC MUDEFER. S.L.),12.60
Serra Voltorera,Tarragona,Cabra del Camp. Barberà de la Conca. Montblanc y Pira,Parc Eólic Serra Voltorera. S.L.U.,16.00
Vilalba,Tarragona,Vilalba dels Arcs,Bon Vent de Vilalba. S.L.U.,48.00
Alta Anoia,Tarragona,Pujalt. Veciana. Prats de Rei y Calonge de Segarra,CIVIS CORPORACIÓN,28.00
Corbera,Tarragona,Corbera D´Ebre,Eólica La Janda. S.L.U.,49.20
Mudéfer,Tarragona,Caseres,SOCIEDAD CATALANA D´ENERGIES RENOVABLES (CATER) (PARC EOLIC MUDEFER. S.L.),45.00
Parc Eolic Almatret,Lleida,Almatret,Element Power,49.40
Pujalt,Tarragona,Pujalt y Calonge de Segarra,Parque Eólico Pujalt. s.l.,42.00
Sant Antoni,Lleida,La Granadella,Parc Eolic Sant Antoni. S.L.,50.00
Savallá,Tarragona,Savallá del Comtat,GERR GRUPO ENERGÉTICO XXI. S.A.,18.00
Turó del Magre,Barcelona,Pujalt. Veciana. Argencola (Barcelona ) y Sant Guim de Freixenet (Lleida),Parque Eólico Turó del Magre. SL,28.00
Veciana,Barcelona,Veciana,PARC EÒLIC VECIANA - CABARO. S.L.,29.27
Vilalba dels Arcs,Tarragona,Vilalba dels Arcs,PARC EOLIC VILALBA DELS ARCS. S.L.U.,24.00
Coll de la Garganta,Tarragona,El Molar. Torre del Español y La Figuera,Parc Eolic Coll de la Garganta. S.L.U.,21.71
Conesa II,Tarragona,Conesa y Forés,GERR GRUPO ENERGÉTICO XXI. S.A.,32.00
La Fatarella,Tarragona,La Fatarella,Bon Vent de l'Ebre. S.L.U.,48.00
Torre Madrina (Fase A),Tarragona,Batea y Gandesa,Parc Eolic Torre Madrina. S.L.U.,24.00
Torre Madrina (Fase B),Tarragona,Batea y Gandesa,Parc Eolic Torre Madrina. S.L.U.,24.00
Barbers,Tarragona,Ascó,TARRACO EÓLICA ASCÓ. S.A.,30.00
Coll de Moro I y II,Tarragona,Batea. Gandesa. Bot y Vilalba dels Arcs,Parc Eolic Coll de Moro. S.L.U.,48.00
Coll del Panissot,Lleida,Almatret,Parc Eólic Coll de Panissot. S.L.U.,9.00
Els Escambrons,Lleida,Almatret,ACCIONA ENERGÍA,48.00
Les Forques II,Tarragona,Passanat,GERR GRUPO ENERGÉTICO XXI. S.A.,12.00
Les Rotes,Lleida,Bellaguarda y La Granadella,TARRACO EÓLICA LES GARRIGUES DOS. S.A.,44.00
Monclues,Lleida,La Granadella,TARRACO EÓLICA LES GARRIGUES. S.A.,30.00
Serra de Vilobí II,Lleida,Tarrés,ACCIONA ENERGÍA,9.00
Viure de l'Aire del Cel,Barcelona,Pujalt,Eolop. S.L.,2.35
La Cabrera I,Valencia,Buñol,ACILOE,2.64
La Cabrera II,Valencia,Buñol,ACILOE,14.45
La Cabrera Ampliación,Valencia,Buñol,ACILOE,3.40
Arriello,Castellón,Castellfort. Villafranca del Cid y Ares del Maestre,RENOMAR,49.50
Folch II,Castellón,Castellfort,RENOMAR,15.00
Manzanera,Castellón,Olocau del Rey,RENOMAR,25.50
Muela de Todolella,Castellón,Olocau del Rey y Todolella,RENOMAR,40.50
Refoyas,Castellón,Forcall y Todolella,RENOMAR,49.50
Torre Miró I,Castellón,Morella,RENOMAR,49.50
Torre Miró II,Castellón,Morella,RENOMAR,49.50
Alto Casillas I,Castellón,Barracas y Viver,ENEL GREEN POWER ESPAÑA S.L.,30.00
Alto Palancia I,Castellón,Barracas y Viver,PROYECTOS EÓLICOS VALENCIANOS,26.00
Alto Palancia II,Castellón,Barracas y Viver,PROYECTOS EÓLICOS VALENCIANOS,46.00
Cabrillas,Castellón,Portell de Morella,RENOMAR,28.50
Folch I,Castellón,Castellfort,RENOMAR,49.50
Mazorral y Rajola,Castellón,Barracas y El Toro,PROYECTOS EÓLICOS VALENCIANOS,28.05
Plá d´Embalagué,Castellón,Portell de Morella,RENOMAR,37.50
Alto Casillas II,Castellón,Pina de Montalgrao,ENEL GREEN POWER ESPAÑA S.L.,30.00
El Mulatón,Valencia,Ayora,Corporación Acciona Eólica,38.00
La Solana,Valencia,Ayora,Corporación Acciona Eólica,44.20
Rincón del Cabello,Valencia,Ayora,Corporación Acciona Eólica,40.00
Alto Palancia III,Castellón,Barracas y Viver,Corporación Acciona Eólica,32.00
Boira,Valencia,Jarafuel,ACCIONA EÓLICA DE LEVANTE,34.50
Cerro de la Nevera,Valencia,La Yesa. Chelva y Andilla,RENOMAR,31.50
Las Bodeguillas,Valencia,Ayora,Corporación Acciona Eólica,36.55
Losilla,Valencia,Ayora,ACCIONA EÓLICA DE LEVANTE,24.00
Peñas de Dios I,Valencia,Andilla,RENOMAR,39.00
Peñas de Dios II,Valencia,Andilla. Chelva y Calles,RENOMAR,28.50
Villanueva I,Valencia,Jarafuel,Parques eólicos de Villanueva. S.L.U.,48.30
Villanueva II,Valencia,Jarafuel,Parques eólicos de Villanueva. S.L.U.,18.40
Benalaz I,Valencia,Enguera,ACCIONA EÓLICA DE LEVANTE,37.50
Benalaz II,Valencia,Enguera,ACCIONA EÓLICA DE LEVANTE,3.00
Benalaz II,Valencia,Enguera,ACCIONA EÓLICA DE LEVANTE,13.50
El Viudo,Valencia,La Yesa,Santa Catalina. S.L.,40.00
El Viudo II,Valencia,La Yesa,Santa Catalina. S.L.,26.00
Muela de Santa Catalina - Cerro Negro,Valencia,Aras de los Olmos,Santa Catalina. S.L.,25.50
Salomón,Valencia,Enguera,ACCIONA EÓLICA DE LEVANTE,37.50
Cerro Negro,Valencia,Aras de los Olmos,Santa Catalina. S.L.,16.00
Cofrentes,Valencia,Cofrentes,Parque Eolico Cofrentes SLU,49.79
Pico Gallo,Asturias,Tineo,VIESGO Renovables,24.42
La Bobia - San Isidro,Asturias,Villanueva de Oscos,TERRANOVA ENERGY CORP.. S.A.,49.30
Sierra de la Cuesta,Asturias,Grandas de Salime,PARQUES EÓLICOS DEL CANTÁBRICO. S.A.,7.92
Sierra de los Lagos,Asturias,Allande,PARQUES EÓLICOS DEL CANTÁBRICO. S.A.,38.94
El Acebo,Asturias,Grandas de Salime,PARQUES EÓLICOS DEL CANTÁBRICO. S.A.,17.82
Penouta,Asturias,Boal,Electra Norte. SAU,5.95
Sierra de Bodenaya,Asturias,Salas,VIESGO Renovables,18.00
Belmonte,Asturias,Belmonte de Miranda,PARQUE EÓLICO BELMONTE. S.A.,34.85
Allo d´Abara,Asturias,El Franco y Coaña,ACCIONA ENERGÍA,6.00
Baos y Pumar Fase I,Asturias,Salas. Valdes y Cudillero,EÓLICA CURISCAO PUMAR. S.A.,30.60
Curiscao Fase I,Asturias,Salas y Valdes,EÓLICA CURISCAO PUMAR. S.A.,42.50
Chao das Grallas,Asturias,Villanueva de Oscos,Alto de Abara. S.L.U.,28.00
Baos y Pumar Fase II,Asturias,Salas. Valdes y Cudillero,EÓLICA CURISCAO PUMAR. S.A.,9.35
Curiscao Fase II,Asturias,Salas y Cudillero,EÓLICA CURISCAO PUMAR. S.A.,6.80
Sierra de Tineo,Asturias,Tineo,VIESGO Renovables,44.00
Carondio y Muriellos,Asturias,Allande y Villayón,P.E.S. MADERO,50.00
Peña del Cuervo,Asturias,Las Regueras y Candamo,PARQUE EÓLICO LAS REGUERAS S.L.U.,16.00
El Candal,Asturias,Boal y Castropol,PRODUCCIONES ENERGÉTICAS ASTURIANAS. S.L.,38.00
El Segredal,Asturias,Villayón,CANTABER GENERACIÓN EÓLICA. S.L.,36.00
Xunqueira,Asturias,San Tirso de Abres,Xunqueira Eólica. s.l.,9.00
Parque Eólico de Investigación Villanueva,Asturias,Villanueva de Oscos,ACCIONA Windpower,6.00
Capiechamartín,Asturias,Tineo. Valdés. Villayón,Parque Eólico Capiechamartín. S.L.,34.13
Cordel&Vidural,Asturias,Navia. Valdés. Villayón,Parque Eólico Cordel y Vidural. S.L.,34.13
Panondres,Asturias,Valdés y Villayón,Parque Eólico Panondres. S.L.,21.00
Verdigueiro,Asturias,Tineo. Villayón,Parque Eólico Verdigueiro. S.L.,36.75
Yerga I,La Rioja,Alfaro y Autol,Eólicas de La Rioja,24.42
Cabimonteros,La Rioja,Robles del Arnedillo. Ocón y Robres del Castillo,Desarrollo de energías Renovables de la Rioja. S. A. (DERRIOJA),49.50
Escurrillo,La Rioja,Villaroya. Quel y Autol,Desarrollo de energías Renovables de la Rioja. S. A. (DERRIOJA),49.50
Gatún I,La Rioja,Arnedillo. Robres del Castillo y Ocón,MOLINOS DE CIDACOS. S.A.,49.50
Yerga II,La Rioja,Alfaro y Autol,Eólicas de La Rioja,30.60
Alcarama I,La Rioja,Cervera del Río Alhama,SISTEMAS ENERGÉTICOS ALHAMA-LINARES,6.80
Alcarama II,La Rioja,Cervera del Río Alhama,SISTEMAS ENERGÉTICOS ALHAMA-LINARES,45.05
Gatún II (1F),La Rioja,Arnedillo. Robres del Castillo y Ocón,MOLINOS DE CIDACOS. S.A.,16.50
Munilla La-Santa,La Rioja,Hornillos. Munilla y Zarzosa,MOLINOS DE CIDACOS. S.A.,36.00
Raposeras,La Rioja,Pradejón y Calahorra,Sociedad promotora:,39.00
Larriba,La Rioja,Munilla. Hornillos de Cameros y Ajamil,MOLINOS DE CIDACOS S.A.,32.00
Préjano,La Rioja,Préjano y Enciso,MOLINOS DE LA RIOJA,29.75
Igea,La Rioja,Igea,MOLINOS DE LA RIOJA,28.00
Munilla Ampliación,La Rioja,Munilla. Zarzosa. Robres del Castillo. Hornillos de Cameros y Arnedillo,MOLINOS DE CIDACOS. S.A.,10.00
Ascoy I,Murcia,Cieza,ELECDEY ASCOY,5.94
La Unión,Murcia,La Unión,P. EÓLICO LA UNIÓN,5.28
Ascoy II,Murcia,Cieza,ELECDEY ASCOY,1.70
Sierra del Buey,Murcia,Jumilla,ENERGÍAS RENOVABLES DE LA REGIÓN DE MURCIA (ERRM),19.55
Gavilanes,Murcia,Yecla,ENERGÍAS RENOVABLES DE LA REGIÓN DE MURCIA (ERRM),16.50
Instalación eólica Universidad de Murcia,Murcia,Término Municipal:,UNIVERSIDAD DE MURCIA,0.05
Gavilanes Ampliación,Murcia,Yecla,ENERGÍAS RENOVABLES DE LA REGIÓN DE MURCIA (ERRM),6.00
Gavilanes Ampliación,Murcia,Yecla,ENERGÍAS RENOVABLES DE LA REGIÓN DE MURCIA (ERRM),15.30
Almendros I,Murcia,Jumilla,ENERGÍAS RENOVABLES DE LA REGIÓN DE MURCIA (ERRM),20.04
Almendros II,Murcia,Jumilla,ENERGÍAS RENOVABLES DE LA REGIÓN DE MURCIA (ERRM),28.00
Reventones,Murcia,Jumilla,ENERGÍAS RENOVABLES DE LA REGIÓN DE MURCIA (ERRM),34.00
Sierra Lácera,Murcia,Yecla,ELECDEY MURCIA. S.A.,37.60
La Tella,Murcia,Jumilla,Promociones Eólicas del Altiplano. S.A,50.00
Sierra de las Cabras,Murcia,Jumilla,ERMurcia,22.00
Elgea,Álava,Onati y Aretxabaleta,EÓLICAS DE EUSKADI,24.42
Elgea Ampliación,Guipúzkoa,Onati y Aretxabaleta,EÓLICAS DE EUSKADI,2.55
Elgea-Urkilla,Álava,Barundia y Donemiliaga,EÓLICAS DE EUSKADI,32.30
Oiz,Vizcaya,Bérriz y Munitibar,EÓLICAS DE EUSKADI,25.50
Badaia,Álava,Kuartango. Ribera Alta e Iruña Oka,EÓLICAS DE EUSKADI,49.98
El Abra,Vizcaya,Puerto de Bilbao (Zierbena),ACCIONA ENERGÍA,10.00
Oiz Ampliación,Vizcaya,Mallabia y Berriz,EÓLICAS DE EUSKADI,8.50
Merengue,Cáceres,Plasencia,Naturgy Renovables,39.38
Cañoneras,Cantabria,Ramales de la Victoria,EÓLICA 2000. S.L.,17.85
Cañoneras II,Cantabria,Soba,EÓLICA 2000. S.L.,14.45
Monte Cotío (Parque Eólico Experimental Vestas Cantabria),Cantabria,Reinosa,VESTAS,3.00
Es Milá,Baleares,Menorca,CONSORCI PER A LA GESTIO DE RESIDUS,3.20
Molino nº 153 - Prop. D MICAELA SERVERA,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 155 - DE D LUISA FULLANA,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 176 - S HORT DE CAN PESAL,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 202 - S HORT DE SA PUNTA D EN POMARET,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 21 - S'Hort de Son Coves,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 215 - SA CANOVETA,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 23 - Es Camp Roig,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 231 - SA CANOVA,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 238 - SA VINYA DE SA CANOVA,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 284 - S HORT D EN PALLISETA,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 300 - DE CAN NADAL,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 308 - D EN MAS MAS,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 324 - S HORT DES TORRER,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
